商品ID,商品名称,类别,描述,价格,销量,评分,库存,上架时间,用户评论
P686773,OPPO 台灯 青春版,台灯,新款知名品牌 台灯，采用先进工艺，品质保证。,688.44,628,4.5,272,2025-04-17,质量很好，非常满意
P203421,vivo 女士连衣裙 经典款,女士连衣裙,知名品牌出品女士连衣裙，深受消费者喜爱，口碑之选。,957.27,399,5.0,477,2025-04-14,用起来很方便，推荐
P147400,华为 平板电脑 经典款,平板电脑,新款知名品牌 平板电脑，采用先进工艺，品质保证。,4854.48,370,5.0,654,2024-11-27,质量很好，非常满意
P185240,vivo 水果礼盒 新款,水果礼盒,新款知名品牌 水果礼盒，采用先进工艺，品质保证。,222.96,256,5.0,966,2023-10-24,性价比高，值得购买
P994210,OPPO 电饭煲 Pro,电饭煲,知名品牌出品电饭煲，深受消费者喜爱，口碑之选。,349.98,100,5.0,285,2023-12-03,质量很好，非常满意
P384418,华为 水果礼盒 新款,水果礼盒,新款知名品牌 水果礼盒，采用先进工艺，品质保证。,654.27,882,4.5,974,2025-05-05,性价比高，值得购买
P552838,苹果 防晒霜 青春版,防晒霜,新款知名品牌 防晒霜，采用先进工艺，品质保证。,654.52,442,4.5,264,2025-06-19,用起来很方便，推荐
P289167,华为 智能手机 Pro,智能手机,新款华为 智能手机，采用先进工艺，品质保证。,2268.14,1167,4.5,772,2023-10-26,质量很好，非常满意
P631851,小米 智能手表 Pro,智能手表,知名品牌 智能手表，精选优质材料，适合各类人群使用。,2228.61,170,4.5,679,2023-09-21,质量很好，非常满意
P602484,小米 台灯 Pro,台灯,新款知名品牌 台灯，采用先进工艺，品质保证。,739.32,119,4.0,874,2024-12-09,用起来很方便，推荐
P896696,苹果 女士连衣裙 青春版,女士连衣裙,知名品牌出品女士连衣裙，深受消费者喜爱，口碑之选。,674.93,178,2.0,287,2025-02-18,不太符合预期
P681323,小米 咖啡 经典款,咖啡,知名品牌 咖啡，精选优质材料，适合各类人群使用。,554.76,733,2.5,961,2024-06-07,不太符合预期
P629150,苹果 牛奶 青春版,牛奶,知名品牌出品牛奶，深受消费者喜爱，口碑之选。,288.06,964,4.5,557,2024-11-29,用起来很方便，推荐
P411828,OPPO 运动鞋 新款,运动鞋,知名品牌出品运动鞋，深受消费者喜爱，口碑之选。,753.93,85,4.0,276,2024-11-25,用起来很方便，推荐
P767027,苹果 运动鞋 新款,运动鞋,知名品牌 运动鞋，精选优质材料，适合各类人群使用。,561.89,172,4.5,384,2025-08-08,用起来很方便，推荐
P223974,惠普 笔记本电脑 Pro,笔记本电脑,戴尔出品笔记本电脑，深受消费者喜爱，口碑之选。,10199.48,437,4.5,487,2025-05-19,性价比高，值得购买
P982788,小米 婴儿奶粉 青春版,婴儿奶粉,知名品牌出品婴儿奶粉，深受消费者喜爱，口碑之选。,432.81,475,4.5,925,2024-02-06,用起来很方便，推荐
P591256,OPPO 纸尿裤 Pro,纸尿裤,新款知名品牌 纸尿裤，采用先进工艺，品质保证。,288.37,3215,4.0,4,2025-03-27,性价比高，值得购买
P539216,OPPO 智能手机 青春版,智能手机,OPPO 智能手机，精选优质材料，适合各类人群使用。,6843.35,421,2.5,121,2024-03-05,不太符合预期
P801035,小米 台灯 Pro,台灯,新款知名品牌 台灯，采用先进工艺，品质保证。,391.46,496,4.0,953,2024-07-13,用起来很方便，推荐
P120163,兰蔻 保湿面霜 Pro,保湿面霜,新款SK-II 保湿面霜，采用先进工艺，品质保证。,728.81,937,4.0,498,2025-05-01,用起来很方便，推荐
P177068,vivo 婴儿车 新款,婴儿车,知名品牌出品婴儿车，深受消费者喜爱，口碑之选。,858.65,3980,3.5,690,2023-12-31,有点小瑕疵，但总体还行
P289393,小米 纸尿裤 青春版,纸尿裤,新款知名品牌 纸尿裤，采用先进工艺，品质保证。,701.3,3403,4.5,225,2024-09-02,用起来很方便，推荐
P388500,小米 智能手表 经典款,智能手表,新款知名品牌 智能手表，采用先进工艺，品质保证。,2959.75,2783,3.5,84,2024-09-20,和描述的一致，不错
P691930,苹果 洗发水 Pro,洗发水,新款知名品牌 洗发水，采用先进工艺，品质保证。,425.13,36,5.0,896,2024-09-11,质量很好，非常满意
P609961,华为 智能手机 青春版,智能手机,vivo出品智能手机，深受消费者喜爱，口碑之选。,5648.86,20,5.0,249,2023-08-12,质量很好，非常满意
P740853,vivo 洗发水 Pro,洗发水,新款知名品牌 洗发水，采用先进工艺，品质保证。,599.96,380,5.0,799,2025-02-07,性价比高，值得购买
P821460,OPPO 运动鞋 Pro,运动鞋,新款知名品牌 运动鞋，采用先进工艺，品质保证。,992.86,260,4.5,430,2025-05-16,质量很好，非常满意
P578959,苹果 牛奶 Pro,牛奶,知名品牌 牛奶，精选优质材料，适合各类人群使用。,354.55,213,4.5,657,2025-07-19,用起来很方便，推荐
P162397,vivo 防晒霜 Pro,防晒霜,知名品牌 防晒霜，精选优质材料，适合各类人群使用。,287.45,342,4.0,325,2024-09-04,质量很好，非常满意
P205557,小米 纸尿裤 青春版,纸尿裤,新款知名品牌 纸尿裤，采用先进工艺，品质保证。,894.95,453,4.5,402,2024-08-20,用起来很方便，推荐
P680085,vivo 智能手表 经典款,智能手表,知名品牌出品智能手表，深受消费者喜爱，口碑之选。,1482.94,2950,3.5,223,2024-06-15,和描述的一致，不错
P830736,小米 平板电脑 青春版,平板电脑,新款知名品牌 平板电脑，采用先进工艺，品质保证。,1517.06,23,4.0,774,2024-06-12,性价比高，值得购买
P434991,华为 口红 青春版,口红,知名品牌 口红，精选优质材料，适合各类人群使用。,487.18,335,2.5,328,2025-03-30,不太符合预期
P853434,小米 女士连衣裙 经典款,女士连衣裙,知名品牌 女士连衣裙，精选优质材料，适合各类人群使用。,306.82,35,4.0,437,2025-01-30,用起来很方便，推荐
P757563,耐克 男士T恤 新款,男士T恤,耐克 男士T恤，精选优质材料，适合各类人群使用。,170.06,2441,3.5,152,2024-07-18,有点小瑕疵，但总体还行
P240415,OPPO 婴儿奶粉 经典款,婴儿奶粉,知名品牌出品婴儿奶粉，深受消费者喜爱，口碑之选。,189.34,399,4.0,627,2024-09-03,性价比高，值得购买
P690993,华为 婴儿奶粉 新款,婴儿奶粉,知名品牌 婴儿奶粉，精选优质材料，适合各类人群使用。,375.18,437,5.0,784,2024-11-23,质量很好，非常满意
P566311,华为 吸尘器 经典款,吸尘器,知名品牌出品吸尘器，深受消费者喜爱，口碑之选。,180.73,380,4.0,521,2025-03-24,性价比高，值得购买
P984270,华为 台灯 新款,台灯,知名品牌出品台灯，深受消费者喜爱，口碑之选。,662.11,318,4.5,874,2024-06-18,性价比高，值得购买
P104078,OPPO 水果礼盒 新款,水果礼盒,知名品牌出品水果礼盒，深受消费者喜爱，口碑之选。,911.67,451,4.5,598,2024-02-06,性价比高，值得购买
P572387,小米 台灯 青春版,台灯,知名品牌 台灯，精选优质材料，适合各类人群使用。,970.87,108,3.0,56,2024-10-24,有点小瑕疵，但总体还行
P398848,华为 婴儿车 Pro,婴儿车,知名品牌 婴儿车，精选优质材料，适合各类人群使用。,947.21,316,3.5,845,2025-02-23,有点小瑕疵，但总体还行
P407097,OPPO 纸尿裤 Pro,纸尿裤,新款知名品牌 纸尿裤，采用先进工艺，品质保证。,782.35,1590,5.0,375,2025-02-16,质量很好，非常满意
P308962,华为 电饭煲 青春版,电饭煲,新款知名品牌 电饭煲，采用先进工艺，品质保证。,850.78,485,5.0,17,2024-04-10,性价比高，值得购买
P152201,OPPO 纸尿裤 经典款,纸尿裤,知名品牌出品纸尿裤，深受消费者喜爱，口碑之选。,268.69,3520,3.5,694,2025-01-19,有点小瑕疵，但总体还行
P959522,vivo 儿童玩具 新款,儿童玩具,新款知名品牌 儿童玩具，采用先进工艺，品质保证。,106.36,130,2.5,606,2024-06-19,不太符合预期
P220075,苹果 口红 青春版,口红,新款知名品牌 口红，采用先进工艺，品质保证。,420.12,35,4.5,780,2025-02-18,质量很好，非常满意
P121139,小米 牛奶 经典款,牛奶,知名品牌 牛奶，精选优质材料，适合各类人群使用。,861.61,100,2.5,843,2024-01-16,不太符合预期
P747394,小米 防晒霜 青春版,防晒霜,知名品牌出品防晒霜，深受消费者喜爱，口碑之选。,553.8,18,3.0,177,2024-12-16,和描述的一致，不错
P267292,OPPO 运动鞋 新款,运动鞋,知名品牌 运动鞋，精选优质材料，适合各类人群使用。,239.06,240,4.5,890,2024-12-07,质量很好，非常满意
P964056,小米 电饭煲 青春版,电饭煲,知名品牌 电饭煲，精选优质材料，适合各类人群使用。,618.08,154,4.0,77,2024-11-18,质量很好，非常满意
P106858,OPPO 咖啡 青春版,咖啡,知名品牌 咖啡，精选优质材料，适合各类人群使用。,840.02,667,5.0,592,2023-10-31,质量很好，非常满意
P219505,SK-II 保湿面霜 新款,保湿面霜,SK-II出品保湿面霜，深受消费者喜爱，口碑之选。,468.63,249,5.0,222,2023-10-03,性价比高，值得购买
P545265,罗莱家纺 床上四件套 青春版,床上四件套,梦洁 床上四件套，精选优质材料，适合各类人群使用。,885.99,1108,4.0,666,2025-03-11,质量很好，非常满意
P769341,百草味 休闲零食 青春版,休闲零食,徐福记出品休闲零食，深受消费者喜爱，口碑之选。,120.41,365,2.5,556,2024-06-06,不太符合预期
P905599,苹果 平板电脑 经典款,平板电脑,新款知名品牌 平板电脑，采用先进工艺，品质保证。,5051.6,310,3.5,452,2023-08-19,有点小瑕疵，但总体还行
P363911,小米 女士连衣裙 新款,女士连衣裙,知名品牌 女士连衣裙，精选优质材料，适合各类人群使用。,655.79,3595,2.0,197,2024-07-27,不太符合预期
P698760,戴尔 笔记本电脑 经典款,笔记本电脑,联想 笔记本电脑，精选优质材料，适合各类人群使用。,5543.76,2281,4.0,965,2024-02-12,性价比高，值得购买
P628802,vivo 吸尘器 青春版,吸尘器,知名品牌 吸尘器，精选优质材料，适合各类人群使用。,964.69,16,3.0,843,2025-03-17,有点小瑕疵，但总体还行
P976814,戴尔 笔记本电脑 青春版,笔记本电脑,新款联想 笔记本电脑，采用先进工艺，品质保证。,14343.62,470,3.5,104,2023-12-29,和描述的一致，不错
P587018,华为 水果礼盒 青春版,水果礼盒,知名品牌出品水果礼盒，深受消费者喜爱，口碑之选。,533.89,63,4.5,719,2024-10-04,用起来很方便，推荐
P725091,苹果 纸尿裤 Pro,纸尿裤,知名品牌 纸尿裤，精选优质材料，适合各类人群使用。,869.79,3292,3.5,775,2024-02-26,和描述的一致，不错
P382993,小米 女士连衣裙 青春版,女士连衣裙,知名品牌 女士连衣裙，精选优质材料，适合各类人群使用。,938.43,475,4.0,419,2024-07-26,用起来很方便，推荐
P970563,OPPO 台灯 Pro,台灯,新款知名品牌 台灯，采用先进工艺，品质保证。,266.12,339,5.0,965,2023-09-12,质量很好，非常满意
P485770,小米 牛奶 青春版,牛奶,知名品牌 牛奶，精选优质材料，适合各类人群使用。,182.08,866,5.0,947,2024-03-28,性价比高，值得购买
P421771,华为 吸尘器 经典款,吸尘器,知名品牌出品吸尘器，深受消费者喜爱，口碑之选。,413.31,1142,4.0,506,2024-05-12,用起来很方便，推荐
P680047,相宜本草 保湿面霜 Pro,保湿面霜,相宜本草 保湿面霜，精选优质材料，适合各类人群使用。,188.47,415,2.5,409,2024-04-21,不太符合预期
P862944,华为 台灯 经典款,台灯,知名品牌 台灯，精选优质材料，适合各类人群使用。,903.55,2225,3.5,827,2024-09-14,和描述的一致，不错
P982410,苹果 防晒霜 新款,防晒霜,新款知名品牌 防晒霜，采用先进工艺，品质保证。,205.69,362,3.0,661,2024-08-08,有点小瑕疵，但总体还行
P413416,vivo 平板电脑 新款,平板电脑,新款知名品牌 平板电脑，采用先进工艺，品质保证。,5402.87,2540,2.0,521,2024-04-14,不太符合预期
P240521,洽洽 休闲零食 经典款,休闲零食,洽洽出品休闲零食，深受消费者喜爱，口碑之选。,237.9,5,4.0,260,2024-01-04,质量很好，非常满意
P795349,华为 口红 经典款,口红,新款知名品牌 口红，采用先进工艺，品质保证。,328.47,22,4.5,732,2023-09-14,质量很好，非常满意
P973852,戴尔 笔记本电脑 青春版,笔记本电脑,新款苹果 笔记本电脑，采用先进工艺，品质保证。,12237.72,2765,4.0,969,2023-08-25,用起来很方便，推荐
P929771,华为 防晒霜 Pro,防晒霜,知名品牌出品防晒霜，深受消费者喜爱，口碑之选。,520.1,6932,4.0,12,2024-07-10,质量很好，非常满意
P708654,华为 口红 新款,口红,知名品牌出品口红，深受消费者喜爱，口碑之选。,471.7,170,4.5,450,2023-12-17,质量很好，非常满意
P649514,OPPO 台灯 青春版,台灯,知名品牌出品台灯，深受消费者喜爱，口碑之选。,842.08,355,4.0,424,2024-10-05,用起来很方便，推荐
P555753,OPPO 牛仔裤 青春版,牛仔裤,知名品牌 牛仔裤，精选优质材料，适合各类人群使用。,634.17,94,4.0,46,2023-11-01,性价比高，值得购买
P485457,小米 智能手机 青春版,智能手机,OPPO出品智能手机，深受消费者喜爱，口碑之选。,2352.89,216,3.5,417,2024-06-29,和描述的一致，不错
P528822,OPPO 婴儿车 Pro,婴儿车,知名品牌 婴儿车，精选优质材料，适合各类人群使用。,734.78,2,5.0,645,2025-01-24,性价比高，值得购买
P942137,华为 纸尿裤 Pro,纸尿裤,知名品牌出品纸尿裤，深受消费者喜爱，口碑之选。,383.93,4416,4.0,372,2025-02-19,性价比高，值得购买
P353102,小米 婴儿奶粉 Pro,婴儿奶粉,新款知名品牌 婴儿奶粉，采用先进工艺，品质保证。,520.52,4263,4.0,308,2023-08-14,用起来很方便，推荐
P756721,华为 婴儿奶粉 Pro,婴儿奶粉,新款知名品牌 婴儿奶粉，采用先进工艺，品质保证。,163.97,414,3.5,356,2025-06-19,有点小瑕疵，但总体还行
P938788,vivo 洗发水 青春版,洗发水,新款知名品牌 洗发水，采用先进工艺，品质保证。,837.18,357,5.0,778,2024-03-22,用起来很方便，推荐
P596937,苹果 台灯 经典款,台灯,知名品牌 台灯，精选优质材料，适合各类人群使用。,171.14,442,4.0,912,2024-09-14,质量很好，非常满意
P164042,华为 口红 Pro,口红,知名品牌出品口红，深受消费者喜爱，口碑之选。,212.04,340,4.5,856,2023-10-11,质量很好，非常满意
P378119,小米 儿童玩具 新款,儿童玩具,知名品牌 儿童玩具，精选优质材料，适合各类人群使用。,536.88,103,5.0,579,2023-09-11,性价比高，值得购买
P261704,惠普 笔记本电脑 Pro,笔记本电脑,新款苹果 笔记本电脑，采用先进工艺，品质保证。,13383.52,139,4.0,133,2025-01-10,用起来很方便，推荐
P476030,华为 儿童玩具 经典款,儿童玩具,知名品牌 儿童玩具，精选优质材料，适合各类人群使用。,990.87,106,3.5,964,2025-01-28,有点小瑕疵，但总体还行
P570383,华为 吸尘器 青春版,吸尘器,新款知名品牌 吸尘器，采用先进工艺，品质保证。,207.03,63,4.0,527,2024-02-24,质量很好，非常满意
P875347,OPPO 运动鞋 Pro,运动鞋,知名品牌 运动鞋，精选优质材料，适合各类人群使用。,416.95,154,4.5,310,2025-02-05,质量很好，非常满意
P656787,小米 牛奶 Pro,牛奶,知名品牌出品牛奶，深受消费者喜爱，口碑之选。,246.63,4516,4.5,105,2024-06-07,性价比高，值得购买
P100893,小米 电饭煲 Pro,电饭煲,新款知名品牌 电饭煲，采用先进工艺，品质保证。,181.43,110,4.5,151,2024-02-19,用起来很方便，推荐
P951935,OPPO 平板电脑 Pro,平板电脑,知名品牌 平板电脑，精选优质材料，适合各类人群使用。,2797.54,129,4.5,605,2024-02-16,用起来很方便，推荐
P801879,OPPO 防晒霜 新款,防晒霜,知名品牌出品防晒霜，深受消费者喜爱，口碑之选。,297.82,297,4.5,132,2024-08-05,用起来很方便，推荐
P163367,惠普 笔记本电脑 经典款,笔记本电脑,联想出品笔记本电脑，深受消费者喜爱，口碑之选。,10893.12,486,4.5,676,2024-05-15,用起来很方便，推荐
P363343,华为 防晒霜 新款,防晒霜,知名品牌出品防晒霜，深受消费者喜爱，口碑之选。,797.22,1886,4.5,308,2025-01-09,性价比高，值得购买
P613826,OPPO 洗发水 经典款,洗发水,知名品牌出品洗发水，深受消费者喜爱，口碑之选。,746.95,251,3.0,965,2025-02-25,和描述的一致，不错
P172781,苹果 儿童玩具 Pro,儿童玩具,知名品牌出品儿童玩具，深受消费者喜爱，口碑之选。,705.76,4148,4.5,664,2024-04-01,用起来很方便，推荐
P563100,罗莱家纺 床上四件套 新款,床上四件套,富安娜出品床上四件套，深受消费者喜爱，口碑之选。,398.37,118,4.5,325,2025-07-16,性价比高，值得购买
P153248,苹果 洗发水 Pro,洗发水,知名品牌 洗发水，精选优质材料，适合各类人群使用。,283.65,1816,2.5,311,2023-11-03,不太符合预期
P314235,小米 牛仔裤 经典款,牛仔裤,知名品牌 牛仔裤，精选优质材料，适合各类人群使用。,301.99,15609,3.5,356,2023-11-30,和描述的一致，不错
P129758,富安娜 床上四件套 经典款,床上四件套,富安娜 床上四件套，精选优质材料，适合各类人群使用。,754.78,2988,3.0,871,2023-08-19,有点小瑕疵，但总体还行
P623086,华为 电饭煲 青春版,电饭煲,知名品牌 电饭煲，精选优质材料，适合各类人群使用。,890.22,336,4.5,933,2023-12-28,质量很好，非常满意
P414623,苹果 儿童玩具 新款,儿童玩具,新款知名品牌 儿童玩具，采用先进工艺，品质保证。,918.1,482,2.5,712,2025-03-28,不太符合预期
P613515,苹果 电饭煲 青春版,电饭煲,知名品牌出品电饭煲，深受消费者喜爱，口碑之选。,101.0,431,4.0,243,2024-03-11,性价比高，值得购买
P235161,华为 水果礼盒 Pro,水果礼盒,知名品牌 水果礼盒，精选优质材料，适合各类人群使用。,716.33,1520,4.5,311,2024-08-22,质量很好，非常满意
P865198,H&M 男士T恤 经典款,男士T恤,新款优衣库 男士T恤，采用先进工艺，品质保证。,336.21,94,4.0,915,2023-08-22,性价比高，值得购买
P326527,OPPO 婴儿车 新款,婴儿车,知名品牌 婴儿车，精选优质材料，适合各类人群使用。,42.62,261,5.0,878,2025-07-11,性价比高，值得购买
P960444,vivo 牛仔裤 经典款,牛仔裤,知名品牌 牛仔裤，精选优质材料，适合各类人群使用。,186.64,245,4.5,141,2025-05-02,用起来很方便，推荐
P485570,华为 电饭煲 青春版,电饭煲,新款知名品牌 电饭煲，采用先进工艺，品质保证。,871.47,298,2.5,723,2025-02-24,不太符合预期
P370343,vivo 吸尘器 Pro,吸尘器,知名品牌出品吸尘器，深受消费者喜爱，口碑之选。,128.97,374,1.5,525,2025-04-20,不太符合预期
P229426,vivo 口红 青春版,口红,知名品牌出品口红，深受消费者喜爱，口碑之选。,488.13,135,2.5,357,2025-06-23,不太符合预期
P674014,苹果 水果礼盒 经典款,水果礼盒,知名品牌 水果礼盒，精选优质材料，适合各类人群使用。,429.44,383,2.5,429,2024-01-20,不太符合预期
P406247,梦洁 床上四件套 青春版,床上四件套,水星家纺出品床上四件套，深受消费者喜爱，口碑之选。,611.25,273,3.0,775,2025-02-21,有点小瑕疵，但总体还行
P193106,vivo 台灯 Pro,台灯,知名品牌出品台灯，深受消费者喜爱，口碑之选。,671.07,199,3.5,307,2025-05-07,有点小瑕疵，但总体还行
P497426,小米 吸尘器 经典款,吸尘器,知名品牌出品吸尘器，深受消费者喜爱，口碑之选。,520.21,459,4.0,508,2025-05-02,质量很好，非常满意
P497676,苹果 牛仔裤 青春版,牛仔裤,知名品牌 牛仔裤，精选优质材料，适合各类人群使用。,678.31,132,3.0,338,2024-05-21,有点小瑕疵，但总体还行
P602138,vivo 纸尿裤 青春版,纸尿裤,新款知名品牌 纸尿裤，采用先进工艺，品质保证。,561.46,3848,4.0,507,2024-09-09,用起来很方便，推荐
P492021,雅诗兰黛 保湿面霜 青春版,保湿面霜,兰蔻出品保湿面霜，深受消费者喜爱，口碑之选。,1362.95,1774,2.0,572,2023-09-07,不太符合预期
P997884,vivo 防晒霜 Pro,防晒霜,知名品牌出品防晒霜，深受消费者喜爱，口碑之选。,700.16,240,4.5,212,2024-01-06,用起来很方便，推荐
P947589,vivo 台灯 新款,台灯,知名品牌出品台灯，深受消费者喜爱，口碑之选。,311.31,300,4.0,444,2024-09-21,用起来很方便，推荐
P486030,OPPO 婴儿车 青春版,婴儿车,新款知名品牌 婴儿车，采用先进工艺，品质保证。,282.27,575,4.5,349,2024-07-24,质量很好，非常满意
P891759,华为 防晒霜 Pro,防晒霜,知名品牌 防晒霜，精选优质材料，适合各类人群使用。,324.94,228,3.0,915,2023-11-23,有点小瑕疵，但总体还行
P753002,OPPO 智能手机 青春版,智能手机,小米 智能手机，精选优质材料，适合各类人群使用。,5204.78,106,4.0,920,2025-01-14,质量很好，非常满意
P313660,惠普 笔记本电脑 青春版,笔记本电脑,新款惠普 笔记本电脑，采用先进工艺，品质保证。,5696.4,27,4.0,972,2024-09-12,质量很好，非常满意
P926185,苹果 平板电脑 青春版,平板电脑,知名品牌 平板电脑，精选优质材料，适合各类人群使用。,4697.4,43,3.5,620,2023-09-23,有点小瑕疵，但总体还行
P792154,小米 水果礼盒 青春版,水果礼盒,知名品牌出品水果礼盒，深受消费者喜爱，口碑之选。,360.39,311,4.0,41,2025-06-21,用起来很方便，推荐
P561699,华为 牛奶 Pro,牛奶,新款知名品牌 牛奶，采用先进工艺，品质保证。,523.66,185,4.0,729,2024-05-06,用起来很方便，推荐
P448463,小米 婴儿车 青春版,婴儿车,新款知名品牌 婴儿车，采用先进工艺，品质保证。,743.88,4523,3.0,834,2024-06-13,和描述的一致，不错
P222740,水星家纺 床上四件套 Pro,床上四件套,富安娜 床上四件套，精选优质材料，适合各类人群使用。,730.08,80,3.0,473,2024-08-06,和描述的一致，不错
P569945,罗莱家纺 床上四件套 青春版,床上四件套,新款富安娜 床上四件套，采用先进工艺，品质保证。,725.63,2344,3.5,307,2023-12-31,有点小瑕疵，但总体还行
P898148,苹果 洗发水 新款,洗发水,知名品牌出品洗发水，深受消费者喜爱，口碑之选。,651.57,23,3.0,814,2024-06-30,和描述的一致，不错
P262336,联想 笔记本电脑 青春版,笔记本电脑,戴尔出品笔记本电脑，深受消费者喜爱，口碑之选。,8458.7,163,4.5,690,2024-06-26,性价比高，值得购买
P440237,OPPO 牛仔裤 新款,牛仔裤,新款知名品牌 牛仔裤，采用先进工艺，品质保证。,280.36,167,4.5,876,2025-07-14,质量很好，非常满意
P943288,H&M 男士T恤 青春版,男士T恤,杰克琼斯出品男士T恤，深受消费者喜爱，口碑之选。,261.91,117,3.0,550,2025-07-17,和描述的一致，不错
P709258,惠普 笔记本电脑 新款,笔记本电脑,新款惠普 笔记本电脑，采用先进工艺，品质保证。,12422.24,4816,4.0,420,2025-03-21,性价比高，值得购买
P633769,联想 笔记本电脑 青春版,笔记本电脑,戴尔出品笔记本电脑，深受消费者喜爱，口碑之选。,9480.44,2490,4.0,601,2025-01-16,性价比高，值得购买
P527842,华为 婴儿车 Pro,婴儿车,知名品牌出品婴儿车，深受消费者喜爱，口碑之选。,801.43,236,4.0,45,2024-11-10,性价比高，值得购买
P166376,华为 智能手表 Pro,智能手表,新款知名品牌 智能手表，采用先进工艺，品质保证。,1621.33,116,4.0,638,2024-08-14,质量很好，非常满意
P643238,华为 女士连衣裙 新款,女士连衣裙,知名品牌出品女士连衣裙，深受消费者喜爱，口碑之选。,841.51,292,4.0,157,2024-05-01,性价比高，值得购买
P687572,苹果 咖啡 经典款,咖啡,知名品牌 咖啡，精选优质材料，适合各类人群使用。,690.69,362,4.5,598,2025-02-06,质量很好，非常满意
P133053,OPPO 水果礼盒 新款,水果礼盒,知名品牌 水果礼盒，精选优质材料，适合各类人群使用。,52.39,385,4.5,322,2025-06-07,用起来很方便，推荐
P327343,SK-II 保湿面霜 新款,保湿面霜,雅诗兰黛出品保湿面霜，深受消费者喜爱，口碑之选。,1155.19,360,4.0,695,2024-03-03,性价比高，值得购买
P507050,小米 防晒霜 Pro,防晒霜,知名品牌 防晒霜，精选优质材料，适合各类人群使用。,307.36,16,3.5,785,2024-12-04,有点小瑕疵，但总体还行
P661025,OPPO 婴儿奶粉 青春版,婴儿奶粉,知名品牌 婴儿奶粉，精选优质材料，适合各类人群使用。,398.35,3659,2.5,528,2024-07-02,不太符合预期
P269229,SK-II 保湿面霜 Pro,保湿面霜,兰蔻出品保湿面霜，深受消费者喜爱，口碑之选。,535.91,154,5.0,764,2023-09-06,用起来很方便，推荐
P517282,苹果 牛奶 青春版,牛奶,新款知名品牌 牛奶，采用先进工艺，品质保证。,290.44,144,4.5,999,2024-10-05,用起来很方便，推荐
P608216,小米 口红 青春版,口红,知名品牌出品口红，深受消费者喜爱，口碑之选。,225.45,1779,2.0,578,2023-12-13,不太符合预期
P286717,华为 婴儿车 新款,婴儿车,新款知名品牌 婴儿车，采用先进工艺，品质保证。,831.29,3985,4.0,476,2024-05-15,质量很好，非常满意
P538783,苹果 女士连衣裙 Pro,女士连衣裙,知名品牌出品女士连衣裙，深受消费者喜爱，口碑之选。,569.81,282,4.5,955,2025-08-04,质量很好，非常满意
P724910,华为 口红 青春版,口红,知名品牌 口红，精选优质材料，适合各类人群使用。,449.7,2425,2.0,71,2024-03-11,不太符合预期
P515903,相宜本草 保湿面霜 Pro,保湿面霜,新款雅诗兰黛 保湿面霜，采用先进工艺，品质保证。,1327.25,816,2.5,962,2023-09-02,不太符合预期
P143392,百草味 休闲零食 经典款,休闲零食,新款徐福记 休闲零食，采用先进工艺，品质保证。,553.93,2064,4.5,264,2025-01-05,性价比高，值得购买
P222702,vivo 吸尘器 新款,吸尘器,知名品牌 吸尘器，精选优质材料，适合各类人群使用。,859.02,292,3.5,882,2023-08-25,有点小瑕疵，但总体还行
P582849,OPPO 口红 新款,口红,新款知名品牌 口红，采用先进工艺，品质保证。,370.63,2455,4.0,803,2024-06-30,性价比高，值得购买
P163763,华为 咖啡 Pro,咖啡,知名品牌出品咖啡，深受消费者喜爱，口碑之选。,431.34,253,3.0,372,2024-05-03,和描述的一致，不错
P938244,华为 笔记本电脑 Pro,笔记本电脑,华为 笔记本电脑，精选优质材料，适合各类人群使用。,10318.03,307,5.0,832,2023-10-16,用起来很方便，推荐
P636678,富安娜 床上四件套 Pro,床上四件套,新款梦洁 床上四件套，采用先进工艺，品质保证。,449.33,3135,4.5,930,2025-04-22,用起来很方便，推荐
P331710,OPPO 运动鞋 新款,运动鞋,知名品牌 运动鞋，精选优质材料，适合各类人群使用。,245.13,102,5.0,584,2025-06-11,质量很好，非常满意
P189339,vivo 牛仔裤 Pro,牛仔裤,知名品牌 牛仔裤，精选优质材料，适合各类人群使用。,359.82,318,3.0,549,2025-05-15,有点小瑕疵，但总体还行
P296984,华为 儿童玩具 青春版,儿童玩具,知名品牌出品儿童玩具，深受消费者喜爱，口碑之选。,102.12,188,4.5,53,2024-02-10,性价比高，值得购买
P566368,小米 口红 青春版,口红,新款知名品牌 口红，采用先进工艺，品质保证。,293.06,399,5.0,691,2025-07-04,性价比高，值得购买
P396157,OPPO 台灯 Pro,台灯,知名品牌 台灯，精选优质材料，适合各类人群使用。,569.36,1388,3.0,152,2024-02-13,和描述的一致，不错
P565219,雅诗兰黛 保湿面霜 Pro,保湿面霜,资生堂出品保湿面霜，深受消费者喜爱，口碑之选。,147.39,243,4.0,371,2025-07-31,质量很好，非常满意
P899469,小米 牛仔裤 新款,牛仔裤,新款知名品牌 牛仔裤，采用先进工艺，品质保证。,755.9,401,2.5,556,2025-01-23,不太符合预期
P595798,苹果 水果礼盒 青春版,水果礼盒,新款知名品牌 水果礼盒，采用先进工艺，品质保证。,760.59,2629,4.5,785,2023-12-23,性价比高，值得购买
P299340,小米 牛奶 经典款,牛奶,新款知名品牌 牛奶，采用先进工艺，品质保证。,457.02,175,2.5,9,2025-05-19,不太符合预期
P516420,vivo 智能手机 青春版,智能手机,新款OPPO 智能手机，采用先进工艺，品质保证。,1357.78,402,2.5,642,2024-04-04,不太符合预期
